,SNo,ObservationDate,Province_State,Country_Region,Last Update,Confirmed,Deaths,Recovered,State,Latitude,Longitude,City
0,32,2020-01-22,WA,US,1/22/2020 17:00,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
1,70,2020-01-23,WA,US,1/23/20 17:00,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
2,118,2020-01-24,WA,US,1/24/20 17:00,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
3,159,2020-01-25,WA,US,1/25/20 17:00,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
4,203,2020-01-26,WA,US,1/26/20 16:00,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
5,250,2020-01-27,WA,US,1/27/20 23:59,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
6,301,2020-01-28,WA,US,1/28/20 23:00,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
7,353,2020-01-29,WA,US,1/29/20 19:30,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
8,408,2020-01-30,WA,US,1/30/20 16:00,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
9,484,2020-01-31,WA,US,1/31/2020 23:59,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
10,559,2020-02-01,WA,US,2/1/2020 19:43,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
11,626,2020-02-02,WA,US,2020-02-01T19:43:03,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
12,694,2020-02-03,WA,US,2020-02-01T19:43:03,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
13,764,2020-02-04,WA,US,2020-02-01T19:43:03,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
14,835,2020-02-05,WA,US,2020-02-01T19:43:03,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
15,906,2020-02-06,WA,US,2020-02-01T19:43:03,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
16,978,2020-02-07,WA,US,2020-02-01T19:43:03,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
17,1050,2020-02-08,WA,US,2020-02-01T19:43:03,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
18,1122,2020-02-09,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
19,1194,2020-02-10,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
20,1267,2020-02-11,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
21,1340,2020-02-12,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
22,1414,2020-02-13,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
23,1489,2020-02-14,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
24,1564,2020-02-15,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
25,1639,2020-02-16,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
26,1714,2020-02-17,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
27,1789,2020-02-18,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
28,1865,2020-02-19,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
29,1941,2020-02-20,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
30,2025,2020-02-21,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
31,2109,2020-02-22,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
32,2193,2020-02-23,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
33,2281,2020-02-24,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
34,2375,2020-02-25,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
35,2476,2020-02-26,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
36,2581,2020-02-27,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
37,2695,2020-02-28,WA,US,2020-02-09T07:03:04,1.0,0.0,1.0,WA,38.899348700000004,-77.0145665,Washington
38,2763,2020-02-29,WA,US,2020-02-29T22:33:03,6.0,1.0,1.0,WA,38.899348700000004,-77.0145665,Washington
39,2813,2020-02-29,WA,US,2020-02-29T15:03:04,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
40,2879,2020-03-01,WA,US,2020-03-01T21:13:12,9.0,1.0,1.0,WA,38.899348700000004,-77.0145665,Washington
41,2910,2020-03-01,WA,US,2020-03-01T20:23:06,2.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
42,3000,2020-03-02,WA,US,2020-03-02T20:23:16,14.0,5.0,1.0,WA,38.899348700000004,-77.0145665,Washington
43,3022,2020-03-02,WA,US,2020-03-02T20:53:02,4.0,1.0,0.0,WA,38.899348700000004,-77.0145665,Washington
44,3138,2020-03-03,WA,US,2020-03-03T20:23:05,21.0,6.0,1.0,WA,38.899348700000004,-77.0145665,Washington
45,3160,2020-03-03,WA,US,2020-03-03T20:23:05,6.0,1.0,0.0,WA,38.899348700000004,-77.0145665,Washington
46,3287,2020-03-04,WA,US,2020-03-04T19:53:02,31.0,9.0,1.0,WA,38.899348700000004,-77.0145665,Washington
47,3314,2020-03-04,WA,US,2020-03-04T19:53:02,8.0,1.0,0.0,WA,38.899348700000004,-77.0145665,Washington
48,3442,2020-03-05,WA,US,2020-03-05T22:03:17,51.0,10.0,1.0,WA,38.899348700000004,-77.0145665,Washington
49,3459,2020-03-05,WA,US,2020-03-05T20:23:07,18.0,1.0,0.0,WA,38.899348700000004,-77.0145665,Washington
50,3551,2020-03-05,WA,US,2020-03-05T20:23:07,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
51,3617,2020-03-06,WA,US,2020-03-06T23:13:07,58.0,12.0,1.0,WA,38.899348700000004,-77.0145665,Washington
52,3635,2020-03-06,WA,US,2020-03-06T23:13:07,19.0,1.0,0.0,WA,38.899348700000004,-77.0145665,Washington
53,3670,2020-03-06,WA,US,2020-03-06T00:33:03,5.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
54,3742,2020-03-06,WA,US,2020-03-05T20:23:07,1.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
55,3816,2020-03-07,WA,US,2020-03-07T20:23:03,71.0,15.0,1.0,WA,38.899348700000004,-77.0145665,Washington
56,3830,2020-03-07,WA,US,2020-03-07T20:23:03,27.0,1.0,0.0,WA,38.899348700000004,-77.0145665,Washington
57,3875,2020-03-07,WA,US,2020-03-06T00:33:03,5.0,0.0,0.0,WA,38.899348700000004,-77.0145665,Washington
